Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
51274,322,1855,22489,7833,14485,47489,-3443,0.438604361,1.079702668,0.152767484,0.360502738,0.194947735,0.4,40180,3785,1036,23685.5569,7.4612,3785,2325,122.3,1094,5.75,40180,6524,-894,5630
16004.253,8.881,302.2,4021.785,1341.813,1341.813,11068.341,2211.725,0.251294765,1.445948675,0.083841027,0.383519565,0.383519565,2.53,3498.682,4935.912,205.72,8687.6261,43.1449,4803.622,442.96,6.339,282.587,3.97,3498.682,1023.39,198.081,1221.471
52666,18620,1325,20681,4975,12743,31949,18302,0.392682186,1.648439701,0.094463221,0.611087134,0.238574785,1.04,20853,20717,191,56572.8983,13.9442,20538,775,75,2434,1.81,20853,3203,11147,14350
2266.847,399.031,0,0,138.992,328.007,139.716,2045.973,0,16.2246772,0.061315122,0.519873648,0.220294927,0.7802,630.936,2127.131,1.156,2273.008,35.5612,2127.131,184.51,1.67,118.541,2.4,630.936,96.458,-132.742,-36.284
69146,17996,1634,19027,5601,16799,51203,13165,0.275171377,1.350428686,0.081002516,0.265996358,0.088686565,1,63155,17943,317,43614.317,50.8416,17881,2049,49.5,0,8.17,63155,3719,12134,15853
18055.3,1501.3,1307.1,4918.1,3066.3,4047.6,10841.9,8087.2,0.272390932,1.665326188,0.16982825,0.424971652,0.32194154,3.39,9524.4,7213.4,148.4,32676.5493,32.5722,7079.6,368.7,18.6,701.5,7.61,9524.4,2627.5,-271.1,2356.4
9962,328,319,2645,1829,2419,7031,3263,0.265508934,1.416868155,0.183597671,0.407857022,0.3083797,1.1,5931,2931,55,10942.8934,23.7659,2931,812,19.112,47,7.34,5931,1386,1491,2877
28621,2732,112,6694,1108,1882,13030,8443,0.233884211,2.196546431,0.038712833,0.395212096,0.232675346,1,4762,15591,399,19716.2177,44.1011,13959,-6172,2.304,323,-7.13,4762,795,1311,2106
11438.943,211.976,0,875.41,380.881,380.881,10217.569,1168.449,0.076528924,1.119536653,0.03329687,0.250730704,0.250730704,0.7,1519.084,1221.374,28.691,3161.6072,26.7136,1221.374,236.777,2.662,7.383,4.59,1519.084,292.167,-185.134,107.033
776.4,7.015,5.08,274.459,109.861,187.427,496.376,107.154,0.353502061,1.564136864,0.141500515,0.39238169,0.229995918,0.72,477.665,280.024,17.317,1070.143,12.8611,280.024,36.593,1.45,0,1.52,477.665,74.627,-31.589,43.038
63467.7,210.5,4654.4,17620.5,5437.2,5437.2,46047.6,7736.1,0.277629408,1.378306361,0.085668773,0.331939365,0.331939365,2.27,16380.1,17420.1,928.9,30958.1875,35.3805,17397,581.7,17.634,967.3,4.41,16380.1,4519.3,503.9,5023.2
158893,25208,21305,31266,9169,9169,138392,7587,0.19677393,1.148137176,0.0577055,0.271087721,0.271087721,1.19,33823,20501,785,66968.32,20.9082,18901,5158,56.4,0,5.14,33823,8224,-7532,692
7100.674,717.259,278.921,2062.644,1007.169,1468.539,3844.161,3861.294,0.290485664,1.847132313,0.141841324,0.382423367,0.262277652,0.36,3840.087,3256.513,94.304,11147.8194,14.1971,3256.513,375.4,15.7,492.104,2.31,3840.087,756.835,57.054,813.889
77626,3241,4403,30193,12000,20935,47751,-909,0.388954732,1.625641348,0.154587381,0.910573703,0.521943369,4,22991,29875,1260,107932.222,40.4701,29875,7731,19.2,2745,10.43,22991,10354,-2599,7755
7970.278,921.132,0,1732.177,1265.993,2366.84,2804.66,4711.985,0.217329559,2.841798293,0.158839253,0.691773477,0.370020948,1.68,3421.409,5165.618,75.092,19753.7611,16.7622,5165.618,838.701,10,376.555,2.92,3421.409,1280.895,-22.917,1257.978
8187.015,264.093,0.297,3578.335,618.384,883.541,4932.22,2021.308,0.43707444,1.659904668,0.075532291,0.396591046,0.277571225,0.18,2227.839,3254.795,192.06,4656.37,11.4362,3247.025,-993.882,13,103.595,-2.79,2227.839,531.905,-138.216,393.689
22519,1377,0,8544,2454,3065,14840,-3497,0.37941294,1.51745283,0.108974644,0.571082541,0.457238681,1,5367,7679,472,24083.0568,16.44,6238,-1398,3.727,476,-3.11,5367,2430,-860,1570
321686,20484,11605,75427,69276,93515,193437,96998,0.23447399,1.663001391,0.21535286,0.43476947,0.322077632,2.23,215091,128249,1456,603253.5663,24.0339,128249,46666,116,2132,8.29,215091,65824,-20483,45341
14588,3406,200,3143,2548,4876,7371,15137,0.215451056,1.979107312,0.174664107,0.450438799,0.235381062,0.4,10825,7217,155,31348.24,6.6948,7217,1698,16.7,2050,1.56,10825,2466,-3432,-966
