Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,label
0.14777373,-0.06760576,-0.026326137,0.7482258,0.9428497,1.1756101,0.21189997,-0.9412125,-0.0999142,-0.46048972,1.3930383,-0.2698665,1.158515,0.48602325,-0.25978374,-0.10658959,0.5208486,-0.07165083,1.3930436,0.30456045,0.0050064554,0.2932392,13.0
-0.12825857,-0.269847,-0.09777003,-0.175437,-0.15758696,-0.27413613,-0.12387783,-0.12614465,0.4490576,0.9899295,-0.30131075,-0.11539652,-0.10045194,-0.23846857,-0.10768568,-0.08685927,-0.12838438,-0.11356933,-0.30129278,-0.12681864,0.037973683,-0.08776827,6.0
0.12438487,0.56163275,0.1393199,-0.14900115,0.5093643,1.0476812,-0.0204661,0.74247515,0.08529932,0.009729649,0.42367965,0.94321126,-0.19028369,1.2258935,1.004517,-0.52932596,0.30045882,0.02019828,0.42369223,0.43416765,-0.58279884,-0.08523669,4.0
-0.24166793,-0.17569187,-0.12999907,-0.388112,-0.38230765,-0.38609174,-0.22505562,-0.13151468,0.0383159,-0.12594247,-0.42382285,-0.2683632,-0.44982076,-0.35702664,-0.25820792,-0.11340523,-0.1571079,-0.11954227,-0.423804,-0.33724928,0.070204645,-0.25985187,10.0
0.23802234,0.019819235,-0.0857317,0.16279717,0.5861385,1.4132704,0.18143097,0.31365776,-0.29674366,0.023559615,2.057358,0.50497466,0.1258465,0.33233085,0.5479686,0.4520236,0.12924698,-0.12791471,2.0573583,0.36834028,-0.21781218,0.16366492,5.0
-0.095784344,-0.20239279,-0.051455293,-0.0496172,0.11606359,0.034146756,-0.12202775,0.24895367,0.15277293,1.4895376,-0.000704094,0.07025036,-0.17600226,0.2528684,0.08666251,0.049503464,-0.03832208,-0.079642095,-0.0006883656,0.11006258,-0.078889616,0.037210163,5.0
-0.20446476,-0.24946779,-0.12289736,-0.33998114,-0.15812111,-0.21274002,-0.18419623,-0.12744644,0.10578789,-0.25304,-0.22012192,-0.26331198,-0.37012354,-0.23108594,-0.2529129,-0.060370415,-0.08232718,-0.1246644,-0.22010456,-0.14198528,-0.030596087,-0.16064264,9.0
0.09911253,0.2296884,-0.12587158,0.02717471,0.7170675,0.39294386,-0.055960927,0.7871493,0.89127845,0.09270954,0.01219011,0.9853208,0.24873707,0.09031015,1.0485293,0.22784184,-0.1485473,-0.09838178,0.012205742,0.60603327,-0.847517,-0.14804055,8.0
-0.16176216,-0.23193441,-0.12999907,-0.34639868,-0.3441106,-0.38464764,-0.12704527,-0.17874461,0.1361635,-0.26687,-0.3944087,-0.3178426,-0.3938024,-0.0038469026,-0.31007537,-0.17650717,-0.15137656,-0.1274826,-0.39439005,-0.314582,0.038699783,-0.26522738,6.0
-0.25376454,-0.26669627,-0.12976672,-0.3606911,-0.3865593,-0.4016435,-0.21976969,-0.2225836,0.17965117,-0.10091017,-0.43303156,-0.3792935,-0.43592903,-0.40071383,-0.3744921,-0.22783601,-0.15610613,-0.12791471,-0.43301263,-0.35080117,0.17013274,-0.18746608,11.0
0.2964092,-0.23798609,0.11036675,0.7781147,0.6615978,0.21121435,0.22302757,0.17014544,0.3228276,0.8049536,0.28405014,0.64547604,1.1831989,0.29941607,0.6994773,0.37852386,-0.054538645,-0.053662077,0.28406373,0.63848954,0.042062163,0.6415527,8.0
1.2284964,4.298313,0.814408,2.8306231,1.6393026,0.7904848,1.2277792,0.18598,0.256873,0.07887957,1.0741447,0.8834787,0.95928067,1.8881525,0.90061164,1.786142,0.16081797,-0.12791471,1.0741525,2.0275736,0.08396175,1.994728,7.0
-0.20221618,-0.19398347,-0.11262712,-0.2879335,-0.19691497,-0.24112451,-0.19336519,-0.052951667,0.18775834,-0.37059483,-0.27836373,-0.19451685,-0.3138301,-0.1135228,-0.18079746,-0.09614143,-0.073535874,-0.100124836,-0.27834594,-0.20821303,0.08714394,-0.12302209,7.0
0.38426736,0.49356264,-0.099649854,1.7318219,1.4299558,1.7595059,0.2274618,-0.4792894,0.71183205,1.0884682,0.41571814,1.199146,1.4653006,2.517794,1.2801286,1.7557049,-0.05835752,0.020422438,0.41573074,1.4971644,-0.615495,0.8950406,5.0
